releaseDate,FIPS,stateAbb,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
2015/6/30,2,AK,42.25,57.75,9.59,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,1,AL,63.79,36.21,14.35,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,5,AR,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,4,AZ,7.04,92.96,76.15,24.56,0,0,2015/6/30,2015/7/6,1
2015/6/30,6,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015/6/30,2015/7/6,1
2015/6/30,8,CO,74.22,25.78,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,9,CT,0,100,22.68,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,11,DC,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,10,DE,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,12,FL,59.04,40.96,19.78,5.55,0,0,2015/6/30,2015/7/6,1
2015/6/30,13,GA,52.93,47.07,13.56,2.46,0,0,2015/6/30,2015/7/6,1
2015/6/30,15,HI,32.6,67.4,24.23,1.33,0,0,2015/6/30,2015/7/6,1
2015/6/30,19,IA,99.7,0.3,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,16,ID,0,100,82.11,44.66,6.29,0,2015/6/30,2015/7/6,1
2015/6/30,17,IL,99.89,0.11,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,18,IN,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,20,KS,90.36,9.64,3.49,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,21,KY,86.33,13.67,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,22,LA,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,25,MA,0,100,11.57,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,24,MD,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,23,ME,78.64,21.36,5.93,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,26,MI,90.52,9.48,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,27,MN,93,7,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,29,MO,99.6,0.4,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,28,MS,89.06,10.94,0.07,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,30,MT,40.08,59.92,40.56,16.23,0,0,2015/6/30,2015/7/6,1
2015/6/30,37,NC,50.31,49.69,15.86,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,38,ND,90.98,9.02,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,31,NE,89.32,10.68,2.19,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,33,NH,48.86,51.14,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,34,NJ,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,35,NM,49.21,50.79,21.51,4.12,0,0,2015/6/30,2015/7/6,1
2015/6/30,32,NV,0,100,95.13,76.1,47.52,11.08,2015/6/30,2015/7/6,1
2015/6/30,36,NY,69.5,30.5,7.46,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,39,OH,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,40,OK,98.28,1.72,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,41,OR,0,100,98.6,83.66,34.09,0,2015/6/30,2015/7/6,1
2015/6/30,42,PA,100,0,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,72,PR,40.73,59.27,39.55,14.68,0,0,2015/6/30,2015/7/6,1
2015/6/30,44,RI,0,100,31.43,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,45,SC,32.8,67.2,27.3,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,46,SD,84.4,15.6,2.51,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,47,TN,55.82,44.18,9.86,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,48,TX,95.37,4.63,0.25,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,49,UT,10.07,89.93,65.03,26.84,0,0,2015/6/30,2015/7/6,1
2015/6/30,51,VA,87.51,12.49,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,50,VT,81.25,18.75,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,53,WA,0,100,92.52,45.79,0,0,2015/6/30,2015/7/6,1
2015/6/30,55,WI,93.12,6.88,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,54,WV,96.79,3.21,0,0,0,0,2015/6/30,2015/7/6,1
2015/6/30,56,WY,72.21,27.79,0.54,0,0,0,2015/6/30,2015/7/6,1
2015/7/7,2,AK,39.47,60.53,17.52,0,0,0,2015/7/7,2015/7/13,1
